Abstract,Author,Document Title,PDF Link,Year
"we first show how to construct an o(n)-depth o(n)-size quantum circuit for.addition of two n-bit binary numbers with no ancillary qubits. the exact size.is 7n-6, which is smaller than that of any other quantum circuit ever.constructed for addition with no ancillary qubits. using the circuit, we then.propose a method for constructing an o(d(n))-depth o(n)-size quantum circuit.for addition with o(n/d(n)) ancillary qubits for any d(n)=\omega(log n). if we.are allowed to use unbounded fan-out gates with length o(n^c) for an arbitrary.small positive constant c, we can modify the method and construct an.o(e(n))-depth o(n)-size circuit with o(n) ancillary qubits for any.e(n)=\omega(log* n). in particular, these methods yield efficient circuits with.depth o(log n) and with depth o(log* n), respectively. we apply our circuits to.constructing efficient quantum circuits for shor's discrete logarithm.algorithm.","['yasuhiro takahashi', 'seiichiro tani', 'noboru kunihiro']",quantum addition circuits and unbounded fan-out,http://arxiv.org/abs/0910.2530v1,2009
"a graph $g$ is called $h$-saturated if it does not contain any copy of $h$,.but for any edge $e$ in the complement of $g$ the graph $g+e$ contains some.$h$. the minimum size of an $n$-vertex $h$-saturated graph is denoted by.$\sat(n,h)$. we prove $$\sat(n,c_k) = n + n/k + o((n/k^2) + k^2)$$ holds for.all $n\geq k\geq 3$, where $c_k$ is a cycle with length $k$. we have a similar.result for semi-saturated graphs $$\ssat(n,c_k) = n + n/(2k) + o((n/k^2) +.k).$$ we conjecture that our three constructions are optimal.","['zoltan furedi', 'younjin kim']",cycle-saturated graphs with minimum number of edges,http://arxiv.org/abs/1103.0067v1,2011
"for any positive integer $n$, define an iterated function $$.f(n)=\left\{\begin{array}{ll} n/2, & \mbox{$n$ even,} \\ 3n+1, & \mbox{$n$.odd.} \end{array} \right. $$ suppose $k$ (if it exists) is the lowest number.such that $f^{k}(n)<n$, and there are $o(n)$ ""multiply by three and add one"".and $e(n)$ ""divide by two"" from $n$ to $f^{k}(n)$, then there must be $$.2^{e(n)-1}<3^{o(n)}<2^{e(n)}. $$ our results confirm the conjecture proposed by.terras in 1976.","['yuyin yu', 'dingyi pei']",on the glide of 3x+1 problem,http://arxiv.org/abs/1710.01525v2,2017
"we present an algorithm for computing $f_p$, the $p$th moment of an.$n$-dimensional frequency vector of a data stream, for $2 < p < \log (n) $, to.within $1\pm \epsilon$ factors, $\epsilon \in [n^{-1/p},1]$ with high constant.probability. let $m$ be the number of stream records and $m$ be the largest.magnitude of a stream update..  the algorithm uses space in bits $$ o(p^2\epsilon^{-2}n^{1-2/p}e(p,n) \log.(n) \log (nmm)/\min(\log (n),\epsilon^{4/p-2}))$$ where, $e(p,n) =.(1-2/p)^{-1}(1-n^{-4(1-2/p})$. here $e(p,n)$ is $ o(1)$ for $p = 2+\omega(1)$.and $ o(\log n)$ for $p = 2 + o(1/\log (n)$. this improves upon the space.required by current algorithms.\cite{iw:stoc05,bgks:soda06,ako:arxiv10,bo:arxiv10} by a factor of at least.$\omega(\epsilon^{-4/p} \min(\log (n), \epsilon^{4/p-2}))$. the update time is.$o(\log (n))$. we use a new technique for designing estimators for functions of.the form $\psi(\expect{x})$, where, $x$ is a random variable and $\psi$ is a.smooth function, based on a low-degree taylor polynomial expansion of.$\psi(\expect{x})$ around an estimate of $\expect{x}$.",['sumit ganguly'],polynomial estimators for high frequency moments,http://arxiv.org/abs/1104.4552v1,2011
"given an undirected edge-weighted graph $g=(v,e)$ with $m$ edges and $n$.vertices, the minimum cut problem asks to find a subset of vertices $s$ such.that the total weight of all edges between $s$ and $v \setminus s$ is.minimized. karger's longstanding $o(m \log^3 n)$ time randomized algorithm for.this problem was very recently improved in two independent works to $o(m \log^2.n)$ [icalp'20] and to $o(m \log^2 n + n\log^5 n)$ [stoc'20]. these two.algorithms use different approaches and techniques. in particular, while the.former is faster, the latter has the advantage that it can be used to obtain.efficient algorithms in the cut-query and in the streaming models of.computation. in this paper, we show how to simplify and improve the algorithm.of [stoc'20] to $o(m \log^2 n + n\log^3 n)$. we obtain this by replacing a.randomized algorithm that, given a spanning tree $t$ of $g$, finds in $o(m \log.n+n\log^4 n)$ time a minimum cut of $g$ that 2-respects (cuts two edges of) $t$.with a simple $o(m \log n+n\log^2 n)$ time deterministic algorithm for the same.problem.","['paweł gawrychowski', 'shay mozes', 'oren weimann']",a note on a recent algorithm for minimum cut,http://arxiv.org/abs/2008.02060v2,2020
"we survey some results on linear-time algorithms for systolic arrays. in.particular, we show how the greatest common divisor (gcd) of two polynomials of.degree n over a finite field can be computed in time o(n) on a linear systolic.array of o(n) cells; similarly for the gcd of two n-bit binary numbers. we show.how n * n toeplitz systems of linear equations can be solved in time o(n) on a.linear array of o(n) cells, each of which has constant memory size (independent.of n). finally, we outline how a two-dimensional square array of o(n)* o(n).cells can be used to solve (to working accuracy) the eigenvalue problem for a.symmetric real n* n matrix in time o(ns(n)). here s(n) is a slowly growing.function of n; for practical purposes s(n) can be regarded as a constant. in.addition to their theoretical interest, these results have potential.applications in the areas of error-correcting codes, symbolic and algebraic.computations, signal processing and image processing.","['richard p. brent', 'franklin t. luk', 'h. t. kung']",some linear-time algorithms for systolic arrays,http://arxiv.org/abs/1004.3716v1,2010
"working over an algebraically closed base field $k$ of characteristic 2, the.ring of invariants $r^g$ is studied, where $g$ is the orthogonal group o(n) or.the special orthogonal group so(n), acting naturally on the coordinate ring $r$.of the $m$-fold direct sum $k^n \oplus...\oplus k^n$ of the standard vector.representation. it is proved for o(2), $o(3)=so(3)$, so(4), and o(4), that.there exists an $m$-linear invariant with $m$ arbitrarily large, which is not.expressible as a polynomial of invariants of lower degree. this is in sharp.contrast with the uniform description of the ring of invariants valid in all.other characteristics, and supports the conjecture that the same phenomena.occur for all $n$. for general even $n$, new o(n)-invariants are constructed,.which are not expressible as polynomials of the quadratic invariants. in.contrast with these results, it is shown that rational invariants have a.uniform description valid in all characteristics. similarly, if $m \leq n$,.then $r^o(n)$ is generated by the obvious invariants. for all $n$, the algebra.$r^g$ is a finitely generated module over the subalgebra generated by the.quadratic invariants, and for odd $n$, the square of any so(n)-invariant is a.polynomial of the quadratic invariants. finally we mention that for even $n$,.an $n$-linear so(n)-invariant is given, which distinguishes between so(n) and.o(n) (just like the determinant in all characteristics different from 2).","['m. domokos', 'p. e. frenkel']",on orthogonal invariants in characteristic 2,http://arxiv.org/abs/math/0303106v2,2003
"a combined analysis of photoproduction data on \gamma p to \pi n, eta n was.performed including the data on k lambda and k sigma. the data are interpreted.in an isobar model with s--channel baryon resonances and pi, rho,(omega), k,.and k^* exchange in the t--channel. three baryon resonances have a substantial.coupling to eta n, the well known n(1535)s_{11}, n(1720)p_{13}, and.n(2070)d_{15}. the inclusion of data with open strangeness reveals the presence.of further new resonances, n(1840)p_{11}, n(1875)d_{13} and n(2170)d_{13}.","['a. v. anisovich', 'a. sarantsev', 'o. bartholomy', 'e. klempt', 'v. a. nikonov', 'u. thoma']",photoproduction of baryons decaying into n pi and n eta,http://arxiv.org/abs/hep-ex/0506010v1,2005
"the problem of space-efficient depth-first search (dfs) is reconsidered. a.particularly simple and fast algorithm is presented that, on a directed or.undirected input graph $g=(v,e)$ with $n$ vertices and $m$ edges, carries out a.dfs in $o(n+m)$ time with $n+\sum_{v\in v_{\ge 3}}\lceil{\log_2(d_v-1)}\rceil.  +o(\log n)\le n+m+o(\log n)$ bits of working memory, where $d_v$ is the.(total) degree of $v$, for each $v\in v$, and $v_{\ge 3}=\{v\in v\mid d_v\ge.3\}$. a slightly more complicated variant of the algorithm works in the same.time with at most $n+({4/5})m+o(\log n)$ bits. it is also shown that a dfs can.be carried out in a graph with $n$ vertices and $m$ edges in $o(n+m\log^*\! n)$.time with $o(n)$ bits or in $o(n+m)$ time with either $o(n\log\log(4+{m/n}))$.bits or, for arbitrary integer $k\ge 1$, $o(n\log^{(k)}\! n)$ bits. these.results among them subsume or improve most earlier results on space-efficient.dfs. some of the new time and space bounds are shown to extend to applications.of dfs such as the computation of cut vertices, bridges, biconnected components.and 2-edge-connected components in undirected graphs.",['torben hagerup'],"space-efficient dfs and applications: simpler, leaner, faster",http://arxiv.org/abs/1805.11864v1,2018
"let $f(n,v,e)$ denote the maximum number of edges in a $3$-uniform hypergraph.not containing $e$ edges spanned by at most $v$ vertices. one of the most.influential open problems in extremal combinatorics then asks, for a given.number of edges $e \geq 3$, what is the smallest integer $d=d(e)$ so that.$f(n,e+d,e) = o(n^2)$? this question has its origins in work of brown,.erd\h{o}s and s\'os from the early 70's and the standard conjecture is that.$d(e)=3$ for every $e \geq 3$. the state of the art result regarding this.problem was obtained in 2004 by s\'{a}rk\""{o}zy and selkow, who showed that.$f(n,e + 2 + \lfloor \log_2 e \rfloor,e) = o(n^2)$. the only improvement over.this result was a recent breakthrough of solymosi and solymosi, who improved.the bound for $d(10)$ from 5 to 4. we obtain the first asymptotic improvement.over the s\'{a}rk\""{o}zy--selkow bound, showing that $$ f(n, e + o(\log e/.\log\log e), e) = o(n^2). $$","['david conlon', 'lior gishboliner', 'yevgeny levanzov', 'asaf shapira']",a new bound for the brown--erdős--sós problem,http://arxiv.org/abs/1912.08834v1,2019
